RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area_Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject Effects,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,Census Tract,ZIP,County,County desc
7607206,20193101401,11/6/2019 0:00,1615,5015 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,458923363: 20193101401,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE; DEADLY RESISTANCE,IMPACT MUNITION/RUBBER RND-ENTER # SHOTS,,,,,2,NO COMPLAINT OF INJURY/PAIN,SWAT SPECIAL OPERATIONS,4/27/2007 0:00,13,3109951,10047540,2,24.11,78744,1,TRAVIS COUNTY
7607206,20193101401,11/6/2019 0:00,1631,5015 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458923363: 20193101401,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; DEADLY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,3/20/2015 0:00,5,3109951,10047540,2,24.11,78744,1,TRAVIS COUNTY
7607206,20193101401,11/6/2019 0:00,1616,5015 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458923363: 20193101401,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; DEADLY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,12/22/2017 0:00,2,3109951,10047540,2,24.11,78744,1,TRAVIS COUNTY
7607206,20193101401,11/6/2019 0:00,1630,5015 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,458923363: 20193101401,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; DEADLY RESISTANCE,IMPACT MUNITION/BEANBAG RND-ENTER # SHOTS,,,,,3,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,9/1/2018 0:00,1,3109951,10047540,2,24.11,78744,1,TRAVIS COUNTY
7607206,20193101401,11/6/2019 0:00,1616,5015 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458923363: 20193101401,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; DEADLY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,9/1/2018 0:00,1,3109951,10047540,2,24.11,78744,1,TRAVIS COUNTY
7606910,20193101412,11/6/2019 0:00,1620,500 E 7TH ST,GE,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459585156: 20193101412,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7606910,20193101412,11/6/2019 0:00,1620,500 E 7TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459585156: 20193101412,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7606910,20193101412,11/6/2019 0:00,,500 E 7TH ST,GE,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459585156: 20193101412,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7606985,20193101622,11/6/2019 0:00,,2711 S IH 35 SVRD NB,HE,2-WARRANT SERVICE [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459870068: 20193101622,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CAREER CRIMINAL UNIT,7/8/2005 0:00,14,3114575,10056441,3,-,78741,1,TRAVIS COUNTY
7606985,20193101622,11/6/2019 0:00,1830,2711 S IH 35 SVRD NB,HE,2-WARRANT SERVICE [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459870068: 20193101622,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CAREER CRIMINAL UNIT,11/30/2012 0:00,7,3114575,10056441,3,-,78741,1,TRAVIS COUNTY
7607549,20193101935,11/6/2019 0:00,,10200 N LAMAR BLVD,ED,2-WARRANT SERVICE [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,305661144: 20193101935,NO COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,,NO COMPLAINT OF INJURY/PAIN,GANG SUPPRESSION UNIT OCD,6/23/2006 0:00,13,3129214,10108662,4,-,78758,1,TRAVIS COUNTY
7607233,20193102064,11/6/2019 0:00,2220,5517 CAMERON RD,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,214762552: 20193102064,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,4/23/2010 0:00,10,3126066,10087340,4,21,78723,1,TRAVIS COUNTY
7607233,20193102064,11/6/2019 0:00,2243,5517 CAMERON RD,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,214762552: 20193102064,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,3/20/2015 0:00,5,3126066,10087340,4,21,78723,1,TRAVIS COUNTY
7448617,201931032,1/3/2019 0:00,,9520 SPECTRUM DR,AD,4-DISPATCHED CALL [non MV Stop],,4,179241388: 201931032,COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 200 REG II PATROL,1/2/2009 0:00,10,3104211,10148189,6,-,78717,2,WILLIAMSON COUNTY
7448617,201931032,1/3/2019 0:00,1619,9520 SPECTRUM DR,AD,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,179241388: 201931032,COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 400 REG II PATROL,6/23/2017 0:00,2,3104211,10148189,6,-,78717,2,WILLIAMSON COUNTY
7462529,2019310503,1/31/2019 0:00,,500 CANYON RIDGE DR,ED,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,187115117: 2019310503,MINOR INJURY,M,B,N,,DEFENSIVE RESISTANCE,,,,,,,MINOR INJURY,EDWARD 100 REG II PATROL,5/10/2002 0:00,17,3135499,10121165,7,-,78753,1,TRAVIS COUNTY
7462529,2019310503,1/31/2019 0:00,,500 CANYON RIDGE DR,ED,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,187115117: 2019310503,MINOR INJURY,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,6/18/2004 0:00,15,3135499,10121165,7,-,78753,1,TRAVIS COUNTY
7462529,2019310503,1/31/2019 0:00,1023,500 CANYON RIDGE DR,ED,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,187115117: 2019310503,MINOR INJURY,M,B,N,,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,EDWARD 100 REG II PATROL,11/30/2012 0:00,6,3135499,10121165,7,-,78753,1,TRAVIS COUNTY
7462529,2019310503,1/31/2019 0:00,1105,500 CANYON RIDGE DR,ED,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,187115117: 2019310503,MINOR INJURY,M,B,N,,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,3/22/2013 0:00,6,3135499,10121165,7,-,78753,1,TRAVIS COUNTY
7462529,2019310503,1/31/2019 0:00,,500 CANYON RIDGE DR,ED,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,187115117: 2019310503,MINOR INJURY,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,5/30/2014 0:00,5,3135499,10121165,7,-,78753,1,TRAVIS COUNTY
7607428,20193110472,11/7/2019 0:00,,8803 SCHICK RD,AD,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,269682929: 20193110472,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 100 REG II PATROL,4/23/2010 0:00,10,3101956,10135765,6,-,78729,2,WILLIAMSON COUNTY
7607577,20193111185,11/7/2019 0:00,1442,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,GEORGE 100 REG I DAYS,3/22/2013 0:00,7,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1445,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 100 REG I DAYS,3/21/2014 0:00,6,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1450,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 200 REG I DAYS,3/21/2014 0:00,6,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1445,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,5/30/2014 0:00,5,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1442,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,12/12/2014 0:00,5,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1449,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1450,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,11/13/2015 0:00,4,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1450,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607577,20193111185,11/7/2019 0:00,1442,500 TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315557699: 20193111185,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,3,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
7607966,20193111502,11/7/2019 0:00,1746,2301 DURWOOD ST,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459379918: 20193111502,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,6/23/2017 0:00,2,3109883,10061111,9,13,78704,1,TRAVIS COUNTY
7607966,20193111502,11/7/2019 0:00,,2301 DURWOOD ST,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459379918: 20193111502,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,12/22/2017 0:00,2,3109883,10061111,9,13,78704,1,TRAVIS COUNTY
7607698,20193111758,11/8/2019 0:00,49,7100 N IH 35 SVRD SB,ID,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,51055372: 20193111758,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,IDA 800 REG I PATROL,9/1/2018 0:00,1,3125614,10094452,4,-,78752,1,TRAVIS COUNTY
7607762,20193111776,11/7/2019 0:00,,4704 LEDESMA RD,CH,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,356780117: 20193111776,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,3,3131251,10073179,1,-,78721,1,TRAVIS COUNTY
7607762,20193111776,11/7/2019 0:00,,4704 LEDESMA RD,CH,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,356780117: 20193111776,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,6/23/2017 0:00,2,3131251,10073179,1,-,78721,1,TRAVIS COUNTY
7607777,20193111868,11/7/2019 0:00,2124,3154 E SH 71 SVRD EB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459870753: 20193111868,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,10/30/2015 0:00,4,3146534,10047586,2,-,78617,1,TRAVIS COUNTY
7617770,20193330123,11/29/2019 0:00,205,600 TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,459646321: 20193330123,COMPLAINT OF INJURY/PAIN,M,W,H,,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,7/13/2012 0:00,7,3115448,10070595,9,-,78701,1,TRAVIS COUNTY
7607777,20193111868,11/7/2019 0:00,2124,3154 E SH 71 SVRD EB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459870753: 20193111868,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,10/28/2016 0:00,3,3146534,10047586,2,-,78617,1,TRAVIS COUNTY
7607777,20193111868,11/7/2019 0:00,2127,3154 E SH 71 SVRD EB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459870753: 20193111868,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,6/23/2017 0:00,2,3146534,10047586,2,-,78617,1,TRAVIS COUNTY
7462928,2019311358,1/31/2019 0:00,,1156 AIRPORT BLVD,CH,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459404591: 2019311358,COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,1,NO COMPLAINT OF INJURY/PAIN,CRIMINAL INTERDICTION / K9,4/23/2010 0:00,9,3128270,10073147,1,8.02,78702,1,TRAVIS COUNTY
7462928,2019311358,1/31/2019 0:00,1920,1156 AIRPORT BLVD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459404591: 2019311358,COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,10/28/2016 0:00,2,3128270,10073147,1,8.02,78702,1,TRAVIS COUNTY
7462928,2019311358,1/31/2019 0:00,1920,1156 AIRPORT BLVD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459404591: 2019311358,COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,6/23/2017 0:00,2,3128270,10073147,1,8.02,78702,1,TRAVIS COUNTY
7607943,20193120146,11/8/2019 0:00,,5345 N IH 35 SVRD NB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459780449: 20193120146,NO COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 800 REG I PATROL,12/13/2013 0:00,6,3125094,10087248,4,-,78723,1,TRAVIS COUNTY
7608042,20193120532,11/8/2019 0:00,911,BLACKSON AVE / DUVAL ST,ID,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,184420396: 20193120532,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,IDA 100 REG I PATROL,3/20/2015 0:00,5,3125450,10095977,4,-,78752,1,TRAVIS COUNTY
7608107,20193121086,11/8/2019 0:00,1552,200 N LAMAR BLVD,BA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459246502: 20193121086,MINOR INJURY,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,STREET NARCOTICS TEAM 1 OCD,3/23/2012 0:00,8,3110201,10070572,9,-,78703,1,TRAVIS COUNTY
7608107,20193121086,11/8/2019 0:00,1552,200 N LAMAR BLVD,BA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,459246502: 20193121086,MINOR INJURY,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,STREET NARCOTICS TEAM 2 OCD,11/30/2012 0:00,7,3110201,10070572,9,-,78703,1,TRAVIS COUNTY
7608160,20193121128,11/8/2019 0:00,1600,2500 METCALFE RD,HE,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459757123: 20193121128,MINOR INJURY,M,W,H,,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/12/2014 0:00,5,3116550,10056657,3,-,78741,1,TRAVIS COUNTY
7608160,20193121128,11/8/2019 0:00,1600,2500 METCALFE RD,HE,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459871015: 20193121128,MINOR INJURY,M,W,,,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,11/13/2015 0:00,4,3116550,10056657,3,-,78741,1,TRAVIS COUNTY
